ID,Title,Author,State,Source Branch,Destination Branch,Created On,Updated On,Link
20,release/sprint-127,Judy Genensky,MERGED,feature/PR-3803_New_Feature_V1_Functionality-New_MH_Note_Template_MHSA_Clinician,develop,2022-02-14T20:18:20.342047+00:00,2022-02-14T20:26:41.724061+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/20
17,PR-3803 OC Track if author is MHSA,Judy Genensky,MERGED,feature/PR-3803_New_Feature_V1_Functionality-New_MH_Note_Template_MHSA_Clinician,develop,2022-02-02T23:19:27.120737+00:00,2022-02-02T23:19:49.770732+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/17
16,PR-3803 OC MHSA clinician,Judy Genensky,MERGED,feature/PR-3803_New_Feature_V1_Functionality-New_MH_Note_Template_MHSA_Clinician,develop,2022-02-02T20:03:13.821579+00:00,2022-02-02T20:03:35.712684+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/16
15,PR-3803 V1 updates for OC MHSA ? on mh note,Judy Genensky,MERGED,feature/PR-3803_New_Feature_V1_Functionality-New_MH_Note_Template_MHSA_Clinician,develop,2022-02-02T17:29:53.882601+00:00,2022-02-02T17:30:25.088465+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/15
14,"PR-3803 OC customization for Mental Health Note Version 1 updates Request for V1 is to update the v1 PDF, but not the data entry report",Judy Genensky,MERGED,feature/PR-3803_New_Feature_V1_Functionality-New_MH_Note_Template_MHSA_Clinician,develop,2022-01-26T21:30:30.188928+00:00,2022-01-28T20:15:36.535023+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/14
12,Master,Max Hampton,MERGED,master,develop,2022-01-21T21:36:53.193796+00:00,2022-01-26T21:12:15.230056+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/12
11,Add database script to uncap length of staff rights column,Max Hampton,MERGED,hotfix/PR-3802-request-to-increase-character-li,master,2022-01-21T20:46:00.829734+00:00,2022-01-21T21:32:58.460182+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/11
9,Release/sprint 123,Michael Walkley,MERGED,release/sprint_123,master,2021-12-15T19:43:32.402307+00:00,2021-12-17T18:48:26.167810+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/9
10,PR-3748 V1 missing scripts needed for Lincoln Deployment,Judy Genensky,MERGED,feature/PR-3748_V1_preperation_for_Lincoln_deployment,master,2021-12-17T15:47:56.049579+00:00,2021-12-17T18:48:25.363948+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/10
7,PR-3775. Prevent IR dates from autoformatting to 19xx.,Michael Walkley,MERGED,hotfix/PR-3775_FormatIRDateToCorrectCentury,master,2021-12-08T22:11:14.058179+00:00,2021-12-15T04:32:29.168651+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/7
6,PR-3765 - Online Support for IRs,Judy Genensky,MERGED,feature/PR-3765_Online_Support_for_IRs_Make_project_compatible_with_Windows_10_and_Configure_on_DEV5,develop,2021-12-08T18:20:17.871520+00:00,2021-12-09T22:07:59.683860+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/6
5,Update logo and message in Index.html since intranet cms news and info is not available.,Chris Sweeney,MERGED,release/sprint_121,master,2021-11-19T00:39:41.493302+00:00,2021-11-19T16:21:04.271773+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/5
4,"Update deployment script to not do remote procedure calls, just copy files",Max Hampton,MERGED,develop,master,2021-11-04T18:35:03.204304+00:00,2021-11-04T18:47:59.037758+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/4
3,"Update deployment script to not do remote procedure calls, just copy files",Max Hampton,MERGED,bugfix/update-deployment-scripts,develop,2021-11-03T21:44:02.851171+00:00,2021-11-03T21:44:38.938782+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/3
2,Release/sprint 119,Max Hampton,MERGED,release/sprint-119,master,2021-10-22T17:59:19.826128+00:00,2021-11-03T17:10:03.124121+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/2
1,Feature/build updates,Max Hampton,MERGED,feature/build-updates,develop,2021-10-13T21:57:48.754828+00:00,2021-10-22T16:51:57.336918+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/1
